Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Stimulus investigation Asoid [%],Control investigation DLC [%],Control investigation DEG [%],Control investigation Asoid [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Stimulus to total investigation Asoid [%],Total investigation time DLC [%],Total investigation time DEG [%],Total investigation time Asoid [%],Discrimination Index DLC,Discrimination Index DEG,Discrimination Index Asoid,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Stimulus investigation events Asoid,Stimulus investigation average bout length Asoid,Stimulus investigation SD bout length Asoid,Stimulus investigation SEM bout length Asoid,Water investigation events Asoid,Water investigation average bout length Asoid,Water investigation SD bout length Asoid,Water investigation SEM bout length Asoid,Median speed [km/h],Distance per minute [m],Immobile time [%],At cage edge [%]
240222_top_2_V1.2_Habituation_Urinleft,2.629193109700816,1.4392565729827742,3.1448322756119675,3.1363327289211242,0.8046237533998187,3.1448322756119675,45.6019656019656,64.14141414141415,58.38020247469067,6.314385006826361,2.243880326382593,7.556097008159565,-0.08796068796068796,0.2828282828282828,0.16760404949381327,11.0,46.18181818181818,29.755060684926125,8.971488355105029,13.0,21.846153846153847,8.877369672808062,2.462139349735265,80.0,11.6,13.154967295929017,1.4707700557741936,64.0,17.296875,22.95453040839305,2.8693163010491314,30.0,51.9,61.09763243903296,11.15485049900591,32.0,34.6875,24.466484646710935,4.325104301371463,0.16890706345014775,4.166995258259117,33.07604994324631,59.96713508612874
240222_top_95_V1.2_Habituation_Urinleft,1.91239800543971,0.37964641885766093,3.4763145965548503,5.856187669990934,0.9236174070716228,3.4763145965548503,24.61706783369803,29.130434782608695,36.193447737909516,8.47945078393172,1.303263825929284,5.448209428830462,-0.5076586433260394,-0.41739130434782606,-0.27613104524180965,7.0,19.142857142857142,7.081162132224988,2.6764277135993133,16.0,20.375,10.800462953040485,2.7001157382601213,51.0,13.235294117647058,13.997983047988189,1.9601096878659556,139.0,14.870503597122303,19.432094523510305,1.6482087455336232,22.0,31.636363636363637,14.949264847493989,3.1871939744754636,43.0,28.53488372093023,17.460634414385517,2.6627217852940674,0.1387156542024204,3.863965147549567,38.41852808446627,55.332048957388935
240307_top_104_V1.4_Habituation_Urinright,2.966341795104261,1.6970761559383498,5.694696282864914,5.700362647325476,1.2862647325475973,5.694696282864914,34.2268715266427,56.88509021842355,43.268416596105,9.126984126984127,2.983340888485947,10.037964641885766,-0.3154625694671461,0.13770180436847104,-0.13463166807790009,12.0,49.916666666666664,35.186408360805075,10.157441169463455,12.0,37.833333333333336,29.42736306517621,8.494947993610168,90.0,11.633333333333333,14.080387188241186,1.4842031283965387,80.0,25.15,33.81112842043713,3.7801990772036254,35.0,43.8,37.51376218058083,6.3409831435583195,41.0,49.02439024390244,33.370262064357576,5.211559361799364,0.1480759582328416,4.149104818745912,37.489583033995224,53.95228921124207
240307_top_105_V1.4_Habituation_Urinright,4.742747053490481,1.4959202175883952,3.5953082502266547,2.1957162284678153,0.0,3.5953082502266547,68.35443037974683,100.0,55.285412262156456,8.391871980262481,1.4959202175883952,8.040571169537625,0.3670886075949367,1.0,0.10570824524312897,21.0,25.142857142857142,15.020937767948158,3.277837349087784,0.0,0.0,0.0,0.0,123.0,13.609756097560975,19.97688588374462,1.8012551396588998,88.0,8.806818181818182,13.101599406219263,1.3966351894050935,45.0,34.86666666666667,27.51991014784486,4.102425988351159,26.0,48.80769230769231,34.535800822646905,6.7730277812396285,0.17441363238490482,4.477011271163169,32.47537241710716,58.366387126019944
240307_top_117_V1.4_Habituation_Urinright,5.561536718041705,3.2014959202175883,6.901631912964643,4.975067996373526,1.8359020852221213,6.901631912964643,52.783006184458195,63.554555680539934,49.313358302122346,11.439557059366349,5.03739800543971,13.616273798730735,0.05566012368916375,0.27109111361079863,-0.01373283395755306,26.0,43.46153846153846,30.994490825604178,6.078519751293395,13.0,49.84615384615385,64.5172407886013,17.89386306267375,130.0,15.1,19.339821151462147,1.696214523285358,148.0,11.864864864864865,16.493102515714234,1.3557246755534305,47.0,50.42553191489362,41.383542560051715,6.036410083674701,62.0,39.29032258064516,32.58249912260513,4.137981526554447,0.2029128996801744,5.268471958745395,26.446638946638945,57.91591115140526
240307_top_1_V1.4_Habituation_Urinright,4.343268359020852,2.249546690843155,7.352107887579329,5.62953309156845,2.1532184950135993,7.352107887579329,43.55113636363636,51.0939510939511,40.87491455912509,10.62224636369123,4.4027651858567545,12.434836808703535,-0.12897727272727272,0.021879021879021878,-0.1825017088174983,24.0,33.083333333333336,26.39979688108071,5.388835972647212,22.0,34.54545454545455,32.55577963862619,6.9409155404705,78.0,19.653846153846153,19.927678931887367,2.2563653198383173,82.0,24.23170731707317,29.05902837987559,3.2090328502419365,40.0,44.85,35.018346839686984,5.536886795358505,45.0,57.666666666666664,46.646640724805586,6.953670638845023,0.1793889087371597,4.476610736284397,31.342562324113814,56.73730734360834
240307_top_2_V1.4_Habituation_Urinright,3.9296237533998184,1.2692656391659112,7.122620126926564,4.0854487760652765,1.0567769718948323,7.122620126926564,49.027925061859314,54.56760048721072,44.79578392621871,8.781078312692058,2.3260426110607435,12.90231187669991,-0.019441498762813716,0.09135200974421437,-0.10408432147562582,17.0,26.352941176470587,24.307769273605167,5.895500014012799,12.0,31.083333333333332,20.006627689722013,5.775415941118813,105.0,13.209523809523809,16.128507512437555,1.5739811657938776,118.0,12.220338983050848,14.089540033146818,1.2970472932377262,51.0,40.0,40.24326030529833,5.635183592186421,46.0,54.65217391304348,54.58172970318277,8.047636997755122,0.1927862029319179,4.83438036096104,29.172014489033398,59.08884859474162
240307_top_95_V1.4_Habituation_Urinright,3.626473254759746,0.5694696282864914,5.159224841341795,3.889959202175884,0.0,5.159224841341795,48.24726724462872,100.0,42.40986717267552,8.295031735609543,0.5694696282864914,8.958522212148685,-0.03505465510742556,1.0,-0.15180265654648956,6.0,33.5,27.790286072654954,11.345336780663088,0.0,0.0,0.0,0.0,64.0,20.0,35.98853432934722,4.498566791168402,81.0,16.950617283950617,19.148042481261566,2.1275602756957297,27.0,49.666666666666664,58.766159806997244,11.309552727936808,43.0,42.348837209302324,43.62769092310974,6.653160492686989,0.1053645802817809,3.336217269722295,48.36077308518254,63.797597461468726
240318_top_104_V1.6_Urinleft_Habituation,5.666364460562103,4.76824569356301,3.629306436990027,3.3941523118766996,1.4845874886672712,3.629306436990027,62.539086929330836,76.25736293611237,66.69266770670826,9.40284025756373,6.252833182230281,10.896418857660924,0.2507817385866166,0.5251472587222474,0.3338533541341654,33.0,51.0,48.155996511338024,8.382882992904486,16.0,32.75,25.553864678361276,6.388466169590319,82.0,24.390243902439025,26.445731106682185,2.920442444275954,79.0,15.164556962025317,16.91034456558594,1.9025624071230882,40.0,64.125,67.85058528175658,10.728119503292413,34.0,37.6764705882353,33.96675789225739,5.825250920400288,0.1506103310739601,4.148223494181723,36.760407503050594,53.50464641885766
240318_top_105_V1.6_Urinleft_Habituation,4.33760199456029,1.6290797824116046,4.0797824116047146,3.7029691749773344,1.4987533998186764,4.0797824116047146,53.946441155743486,52.083333333333336,56.95067264573991,8.525082607389606,3.127833182230281,9.476994560290118,0.07892882311486962,0.041666666666666664,0.13901345291479822,21.0,27.38095238095238,16.73462336139117,3.651794203816732,20.0,26.45,13.547091356100257,3.029221716963998,108.0,14.175925925925926,19.394010398098803,1.8661895206681243,84.0,15.55952380952381,17.11995326426187,1.8679400411330083,42.0,45.357142857142854,30.154740296831243,4.652977445037946,39.0,36.92307692307692,29.675778369949256,4.751927603108912,0.2248431897985914,5.36497315106395,24.933875600807713,61.55088395285585
