Index,Stimulus to total investigation DLC [%],Total investigation time DLC [%],Discrimination Index DLC,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG,Median speed [km/h],Distance per recording [m],Immobile time [%]
240307_top_2_V1.4_Experiment_Urinright,48.333333333333336,8.571129925786558,-0.03333333333333333,33.203378817413906,4.360267452402539,-0.3359324236517219,0.1405895933345904,0.3374861429829159,37.709877476932384
240307_top_95_V1.4_Experiment_Urinright,35.56832694763729,6.463595839524518,-0.2886334610472541,100.0,0.5128059836808704,1.0,0.10571989248558089,0.26576070716865574,48.00488868335866
240318_top_104_V1.6_Urinleft_Experiment,78.35728952772074,8.503282581366113,0.5671457905544148,92.29807451862966,11.329895738893926,0.8459614903725932,0.16598054806486778,0.41598124179644913,33.10406166617255
240318_top_105_V1.6_Urinleft_Experiment,52.05061082024432,7.394263961028487,0.04101221640488656,37.42550655542312,2.3770398912058024,-0.25148986889153757,0.1391669172698628,0.3813400484961009,39.8530143764823
240318_top_117_V1.6_Urinleft_Experiment,75.84513146489455,12.299655282703721,0.5169026292978908,88.98405900547229,11.907864913871261,0.7796811801094456,0.1427822502355812,0.36966076892470995,38.262246171644286
240318_top_1_V1.6_Urinleft_Experiment,50.8646998982706,6.638976125350353,0.017293997965412006,83.55263157894737,2.1532184950135993,0.6710526315789473,0.1521392580584827,0.3721519730495488,35.982286390245385
240318_top_2_V1.6_Urinleft_Experiment,51.55807365439094,7.385194741797134,0.031161473087818695,65.14084507042254,2.413871260199456,0.3028169014084507,0.1365470395313434,0.3218635689656888,38.85381401165096
240318_top_95_V1.6_Urinleft_Experiment,34.91988689915174,7.0199814741299456,-0.3016022620169651,39.03420523138833,1.4080915684496826,-0.2193158953722334,0.1063139414779703,0.288540354401616,47.61666862583754
240325_top_104_V1.8_Urinright_Experiment,60.61823802163833,10.935334482642057,0.2123647604327666,65.6786271450858,5.448209428830462,0.31357254290171604,0.15043152844114324,0.35948650195441095,36.864178299682465
240325_top_105_V1.8_Urinright_Experiment,57.40231150247661,5.951718038586263,0.14804623004953218,46.86192468619247,2.031391659111514,-0.06276150627615062,0.1411832633691779,0.3774061130429899,38.93734661896455
240325_top_117_V1.8_Urinright_Experiment,70.61855670103093,12.135534317984362,0.41237113402061853,82.00402144772117,8.454215775158659,0.6400804289544236,0.14876485412400076,0.4033790574513189,37.01364779121274
240325_top_1_V1.8_Urinright_Experiment,40.019379844961236,9.77766548762001,-0.1996124031007752,48.705882352941174,4.816409791477788,-0.02588235294117647,0.1484618469396418,0.3760870543018096,37.19887123124907
240325_top_2_V1.8_Urinright_Experiment,53.24782788580885,8.27569677463535,0.06495655771617707,37.19931271477663,3.297824116047144,-0.25601374570446733,0.1365652801297085,0.3278284353312976,39.17241787861734
240325_top_95_V1.8_Urinright_Experiment,50.0,5.806258521499118,0.0,67.93650793650794,0.8924524025385313,0.35873015873015873,0.1325804395204157,0.34663184017140414,39.81768404584975
240402_top_104_V1.10_Urinleft_Experiment,66.57620985979194,14.635599391010789,0.331524197195839,75.21399330107927,7.612760652765186,0.5042798660215854,0.1341830830494111,0.33172768955177484,40.40755615052804
240402_top_105_V1.10_Urinleft_Experiment,65.64039408866995,5.2938683704403955,0.312807881773399,45.35398230088495,2.561196736174071,-0.09292035398230089,0.1459980481945996,0.3660839721300356,37.623351607645574
240402_top_117_V1.10_Urinleft_Experiment,68.66691986327383,9.423090687853412,0.37333839726547663,79.80173482032218,2.286378059836809,0.5960346964064436,0.1744296373650705,0.4127953037520943,31.075312373414764
240402_top_1_V1.10_Urinleft_Experiment,62.22301644031452,9.2154667017983,0.2444603288062902,20.86553323029366,1.8330689029918406,-0.5826893353941267,0.1763650999539983,0.47141227208217934,32.64934148635936
240402_top_2_V1.10_Urinleft_Experiment,44.76072607260726,8.433944539160084,-0.10478547854785479,9.744560075685904,2.994673617407072,-0.8051087984862819,0.135709295978483,0.3252290478572617,39.47121921740444
240402_top_95_V1.10_Urinleft_Experiment,62.944162436548226,10.016949152542374,0.25888324873096447,41.62162162162162,1.048277425203989,-0.16756756756756758,0.1396542146895327,0.3357714875085268,37.57851088481005
