Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Control investigation DLC [%],Control investigation DEG [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Total investigation time DLC [%],Total investigation time DEG [%],Discrimination Index DLC,Discrimination Index DEG,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Median speed [km/h],Distance per minute [m],Immobile time [%],Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Control investigation DLC [%],Control investigation DEG [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Total investigation time DLC [%],Total investigation time DEG [%],Discrimination Index DLC,Discrimination Index DEG,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Median speed [km/h],Distance per minute [m],Immobile time [%]
240610_top_66_V2.3_Urinright_V_Experiment,1.733956651,0.424989375,0.671483213,0,72.08480565,100,2.666541035,0.424989375,0.441696113,1,3,16.66666667,15.94783162,9.207484878,0,0,0,0,10,20.4,17.51316965,5.538150514,10,7.9,3.414023368,1.079608983,0.46029172,9.612104906,8.969957082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240610_top_68_V2.3_Urinright_V_Experiment,3.450913727,1.402464938,2.099447514,0.6119847,62.17457887,69.62025316,6.035677974,2.014449639,0.243491577,0.392405063,7,23.57142857,16.05051549,6.06652463,2,36,39.59797975,28,24,16.91666667,18.23259543,3.721712958,19,13,21.91904296,5.028573327,0.168151275,4.121792499,32.8627991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240612_top_65_V2.4_Urinleft_V_Experiment,3.994900127,1.045473863,2.702932427,0.64598385,59.64467005,61.80904523,7.602508442,1.691457714,0.192893401,0.236180905,7,17.57142857,7.61264612,2.877309779,4,19,7.615773106,3.807886553,26,18.07692308,12.90247442,2.530383417,12,26.5,18.26322684,5.272139466,0.216242977,5.046025834,23.2537961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240612_top_67_V2.4_Urinleft_V_Experiment,2.209944751,0.2039949,2.116447089,0.093497663,51.0805501,68.57142857,4.575280899,0.297492563,0.021611002,0.371428571,2,12,4.242640687,3,1,0,0,0,13,20,15.28615932,4.239617786,14,17.78571429,16.21575004,4.333841495,0.146140218,3.989137761,37.80373433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240624_top_70_V2.5_Urinleft_V_Experiment,3.348916277,1.376965576,5.915852104,2.889927752,36.14678899,32.27091633,10.73362875,4.266893328,-0.27706422,-0.354581673,2,81,73.53910524,52,8,42.5,36.16233242,12.78531524,27,14.59259259,14.81490741,2.85113026,30,23.2,23.02382574,4.203556239,0.144710412,3.565858339,37.54910333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240624_top_73_V2.5_Urinleft_V_Experiment,8.457288568,7.437314067,1.376965576,0.2039949,85.99827139,97.33036707,11.35092711,7.641308967,0.719965428,0.946607341,12,72.91666667,57.27042444,16.53254748,2,12,0,0,22,45.22727273,74.43433144,15.86945278,10,16.2,12.38996009,3.918049401,0.182093091,4.25125837,29.66690417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240627_top_69_V2.6_Urinright_V_Experiment,2.728431789,0.501487463,0.798980025,0.322991925,77.34939759,60.82474227,3.998843708,0.824479388,0.546987952,0.216494845,3,19.66666667,11.93035345,6.887992773,2,19,4.242640687,3,15,21.4,27.65553419,7.140628224,3,31.33333333,22.81081615,13.16983084,0.136453544,3.511991642,38.67924528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240627_top_71_V2.6_Urinright_V_Experiment,8.032299193,4.385890353,2.592435189,0,75.6,100,12.05167759,4.385890353,0.512,1,8,64.5,63.93746945,22.60530911,0,0,0,0,21,45,70.54218596,15.39356699,26,11.73076923,8.843337344,1.734321142,0.168137359,4.171014682,33.1354328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240627_top_72_V2.6_Urinright_V_Experiment,9.961750956,6.740331492,5.337866553,3.314917127,65.11111111,67.03296703,17.12817585,10.05524862,0.302222222,0.340659341,10,79.3,59.85733038,18.92854987,6,65,54.37278731,22.19759747,19,61.68421053,180.2726493,41.35738213,26,24.15384615,42.90705518,8.414765833,0.187926494,4.715212405,31.18270157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
