Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Control investigation DLC [%],Control investigation DEG [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Total investigation time DLC [%],Total investigation time DEG [%],Discrimination Index DLC,Discrimination Index DEG,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Median speed [km/h],Distance per minute [m],Immobile time [%]
240516_top_82_V2.2_Urinleft_V_Habituation,4.95537611559711,2.7454313642158947,5.27836804079898,1.8699532511687207,48.421926910299,59.48434622467772,10.902834374717015,4.615384615384616,-0.03156146179401993,0.18968692449355432,7.0,46.142857142857146,18.306907361508582,6.919360593321334,6.0,36.666666666666664,20.096434177899987,8.204334897547218,28.0,20.821428571428573,32.040545576605915,6.055093961894991,21.0,29.571428571428573,38.43380208692789,8.386943205157086,0.1801107300687529,4.792528467641663,31.214071214071215
240516_top_83_V2.2_Urinleft_I_Habituation,9.451763705907352,0.46748831279218017,4.385890352741181,1.1729706757331066,68.3046683046683,28.497409326424872,14.723704440625848,1.6404589885252867,0.36609336609336607,-0.43005181347150256,4.0,13.75,5.737304826019502,2.868652413009751,5.0,27.6,21.524404753674375,9.626006440887103,35.0,31.771428571428572,34.596910533852515,5.847945227629458,20.0,25.8,36.4584839595886,8.152364849022579,0.1394600755346592,3.7792344291423543,38.64467307201769
240610_top_63_V2.3_Urinright_I_Habituation,2.566935826604335,0.8159796005099872,2.7284317892052696,0.8159796005099872,48.47512038523274,50.0,5.808857808857809,1.6319592010199744,-0.030497592295345103,0.0,2.0,48.0,16.97056274847714,11.999999999999998,3.0,32.0,21.79449471770337,12.583057392117917,22.0,13.727272727272727,21.155167821152485,4.510296934092868,20.0,16.05,15.588372859957278,3.485666137347728,0.2274538892034716,5.133669350634373,23.00163132137031
240610_top_64_V2.3_Urinright_V_Habituation,3.4254143646408837,0.27199320016999573,4.385890352741181,1.665958351041224,43.85201305767138,14.035087719298245,8.144996897988124,1.9379515512112195,-0.12295973884657237,-0.7192982456140351,2.0,16.0,9.899494936611665,6.999999999999999,7.0,28.0,22.627416997969522,8.55235974119758,37.0,10.891891891891891,16.21347824733721,2.665479404559677,25.0,20.64,20.391746696478293,4.0783493392956585,0.15760289194016192,3.868220087615915,34.37074829931973
240610_top_65_V2.3_Urinright_I_Habituation,1.9124521886952826,0.0,2.566935826604335,0.8159796005099872,42.69449715370019,0.0,4.857590561342059,0.8159796005099872,-0.1461100569259962,-1.0,0.0,0.0,0.0,0.0,4.0,24.0,20.912516188477497,10.456258094238748,19.0,11.842105263157896,6.635453244962387,1.5222773757568464,31.0,9.741935483870968,6.961646078983925,1.2503485466194213,0.2873341557157955,6.390557389812475,16.239979312128263
240610_top_66_V2.3_Urinright_V_Habituation,1.8784530386740332,0.2804929876753081,2.6009349766255845,0.0,41.935483870967744,100.0,4.96,0.2804929876753081,-0.16129032258064516,1.0,2.0,16.5,6.363961030678928,4.5,0.0,0.0,0.0,0.0,19.0,11.631578947368421,8.603684781119396,1.9738206580514897,30.0,10.2,7.255913165278989,1.324742438640671,0.411700851657268,8.736345242715092,12.242102559712354
240610_top_67_V2.3_Urinright_I_Habituation,2.4564385890352742,1.4534636634084148,2.9069273268168296,0.2634934126646834,45.800316957210775,84.65346534653465,5.781035272560697,1.716957076073098,-0.08399366085578447,0.693069306930693,7.0,24.428571428571427,8.48247493084306,3.206074167050078,3.0,10.333333333333334,1.5275252316519468,0.881917103688197,16.0,18.0625,11.23369188349642,2.808422970874105,24.0,14.25,16.421751217317787,3.3520759304464245,0.2263476753509278,5.386427892723439,24.233651226158038
240610_top_68_V2.3_Urinright_V_Habituation,8.712282192945176,0.0,1.6404589885252867,0.8244793880152996,84.15435139573071,0.0,10.669236159775753,0.8244793880152996,0.6830870279146142,-1.0,0.0,0.0,0.0,0.0,3.0,32.333333333333336,34.38507428134093,19.852231892437462,33.0,31.060606060606062,43.611164993854636,7.5917293756274,11.0,17.545454545454547,12.25857770186767,3.696100245501113,0.1081245478990548,2.964066222345389,47.29683781026861
240612_top_63_V2.4_Urinleft_V_Habituation,4.63238419039524,0.06799830004249893,3.459413514662133,0.2889927751806205,57.24789915966386,19.047619047619047,8.400988351570774,0.35699107522311946,0.14495798319327732,-0.6190476190476191,1.0,0.0,0.0,0.0,3.0,11.333333333333334,5.773502691896257,3.3333333333333335,20.0,27.25,32.085207281795604,7.174470455426622,13.0,31.307692307692307,15.418520332080158,4.276328126853774,0.13435417269210184,3.454886259205884,39.78027593254982
240612_top_64_V2.4_Urinleft_I_Habituation,3.357416064598385,1.8869528261793456,3.7654058648533786,0.671483212919677,47.13603818615752,73.75415282392026,7.56864161849711,2.5584360390990226,-0.057279236276849645,0.4750830564784053,5.0,44.4,26.85702887513807,12.010828447696687,3.0,26.333333333333332,13.650396819628847,7.881060278357927,35.0,11.285714285714286,13.47671505744244,2.2779806141122685,23.0,19.26086956521739,19.580178732827903,4.082749495608407,0.1487709703824629,3.5158850145013174,35.71916055280669
