Index,Stimulus to total investigation DLC [%],Total investigation time DLC [%],Discrimination Index DLC,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG,Median speed [km/h],Distance per minute [m],Immobile time [%]
240313_top_117_V1.5_Habituation_Urinleft,49.14593946658675,11.393355867390488,-0.017081210668264908,61.029411764705884,0.3853237002408273,0.22058823529411764,0.16126637457479753,4.279276418392276,33.827277576907115
240321_top_104_V1.7_Habituation_Urinright,46.70266101041265,8.431971904266389,-0.06594677979174701,100.0,0.32299192520187,1.0,0.1633062306410219,4.356385269864834,32.813150228880566
240321_top_105_V1.7_Habituation_Urinright,64.71885336273428,9.066071369073402,0.29437706725468576,100.0,0.26915993766822494,1.0,0.1642642338031851,4.242766478915115,32.773614998043996
240321_top_117_V1.7_Habituation_Urinright,61.18737131091283,9.616526961916705,0.2237474262182567,59.05172413793104,0.657316900410823,0.1810344827586207,0.1587413312957145,4.1950022599103525,33.78728330743686
240321_top_1_V1.7_Habituation_Urinright,51.37370753323486,11.49210660329316,0.027474150664697192,86.27450980392157,0.577985550361241,0.7254901960784313,0.1483443838475511,3.86903218510704,36.08051539352196
240321_top_2_V1.7_Habituation_Urinright,33.214407067618076,20.358328721638074,-0.3357118586476385,100.0,1.425131038390707,1.0,0.1338484490973945,3.6005094583937622,39.21233399480995
240321_top_95_V1.7_Habituation_Urinright,49.00649598777226,17.707558021517016,-0.019870080244554833,,0.0,,0.13616141409879465,3.742532491022716,38.6621932051747
240328_top_104_V1.9_Habituation_Urinleft,49.89852866565195,12.888249525926895,-0.0020294266869609334,7.246376811594203,0.7819804504887378,-0.855072463768116,0.1290257020910506,3.517197396051888,41.03766540219242
240328_top_105_V1.9_Habituation_Urinleft,62.751065124771756,5.356153219233904,0.2550213024954352,21.551724137931032,0.3286584502054115,-0.5689655172413793,0.154613721112568,3.982545125011493,35.02471169686985
240328_top_117_V1.9_Habituation_Urinleft,40.073126142595974,9.589425335717541,-0.19853747714808043,,0.0,,0.1715592221355925,4.41527277626297,31.26453444474646
240328_top_1_V1.9_Habituation_Urinleft,72.07147584381205,14.987105732989486,0.4414295168762409,59.16955017301038,0.818812863011758,0.18339100346020762,0.1210494843692904,3.4443959929418657,43.71016039609831
240328_top_2_V1.9_Habituation_Urinleft,42.88998357963875,21.835783434922913,-0.14220032840722496,22.363847045191193,2.445105539028191,-0.5527230590961761,0.1384163506520239,3.598912538530156,37.99676317209135
240328_top_95_V1.9_Habituation_Urinleft,43.71391320543863,18.265632441994963,-0.12572173589122743,33.33333333333333,0.764980875478113,-0.3333333333333333,0.1437005095788745,3.7223987743603133,36.252414681262074
240408_top_104_V1.11_Habituation_Urinright,43.745261561789235,7.685584430719031,-0.12509476876421532,71.11111111111111,0.509987250318742,0.4222222222222222,0.1224931791519,3.2589456334079756,43.286446930390184
240408_top_105_V1.11_Habituation_Urinright,55.33411488862837,8.534551760939166,0.10668229777256741,89.79591836734694,0.9718090381073806,0.7959183673469388,0.15605596664997767,4.079875468149313,34.91509378143305
240408_top_117_V1.11_Habituation_Urinright,38.85651857246904,9.598378132755427,-0.2228696285506191,20.600858369098713,0.6601501629125939,-0.5879828326180258,0.16835979644214136,4.268571646418172,31.811802038201016
240408_top_1_V1.11_Habituation_Urinright,41.611996251171504,10.653309814623755,-0.16776007497656983,64.16464891041163,1.1701374132313358,0.28329297820823246,0.15107982044791618,4.082105111206749,36.48577449947313
240408_top_2_V1.11_Habituation_Urinright,42.96713058928043,25.393841410685415,-0.14065738821439147,79.08396946564885,1.8557869386598667,0.5816793893129771,0.1481765599785303,3.667094552714217,35.54572747522356
240408_top_95_V1.11_Habituation_Urinright,62.575811630396004,19.228922274816494,0.2515162326079201,100.0,1.314633800821646,1.0,0.1454323493065724,3.7298717278016036,35.62639129359387
240411_top_104_V1.12_Habituation_Urinleft,52.60663507109005,15.524045214366932,0.052132701421800945,39.14209115281501,1.0568069131605045,-0.21715817694369974,0.1379212699683137,3.6774633746735015,38.77107932070309
240411_top_105_V1.12_Habituation_Urinleft,42.249657064471876,12.318350794187225,-0.1550068587105624,0.0,0.43632242527270154,-1.0,0.14938147603223556,3.9051618373761237,35.7861411917865
240411_top_117_V1.12_Habituation_Urinleft,41.8021978021978,7.981896007297734,-0.16395604395604396,0.0,0.022666100014166312,-1.0,0.1639177101333974,4.10750119129294,32.99386503067485
240411_top_1_V1.12_Habituation_Urinleft,33.9212228101117,17.180661234933677,-0.32157554379776604,11.524163568773234,0.7621476129763423,-0.7695167286245354,0.12258346417617699,3.4427539417686464,43.19988137603796
240411_top_2_V1.12_Habituation_Urinleft,70.02999143101971,18.162010738463934,0.40059982862039417,5.240174672489083,0.6488171129055107,-0.8951965065502183,0.14645649357768686,3.7233692550504442,36.29424227318046
240411_top_95_V1.12_Habituation_Urinleft,37.024761162019885,17.62240164920117,-0.25950477675960226,0.0,0.9094772630684234,-1.0,0.13183331130356996,3.4419630126503105,39.46992737880951
