,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_snicket,distance_nose_right_snicket,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_snicket,is_investigating_right_snicket,object_investigation_radius[cm],deg_is_investigating_left_snicket,deg_is_investigating_right_snicket
24,0.0033160028271144,0.716256610656725,0.0,0.1,786.8466034970107,468.7961563313335,0.0,1.0,0.0,0.0,2.0,0,0
25,0.0035689431678699,0.7708917242599111,0.0,0.1,797.0882180673849,466.1459272705513,0.0,1.0,0.0,0.0,2.0,0,0
26,0.0045136004929577,0.9749377064788805,0.0,0.1,810.5770758416313,459.1354632284352,0.0,1.0,0.0,0.0,2.0,0,0
27,0.0046473741119796,1.0038328081876016,0.0,0.1,821.4824658251729,450.4436971910137,0.0,1.0,0.0,0.0,2.0,0,0
28,0.0029066204965624,0.6278300272574867,0.0,0.1,829.8225229563706,443.7262142984593,0.0,1.0,0.0,0.0,2.0,0,0
29,0.0022419865600036,0.4842690969607915,0.0,0.1,838.9584426577832,438.4087831624341,0.0,1.0,0.0,0.0,2.0,0,0
30,0.003147673054266,0.679897379721458,0.0,0.1,848.1836416584067,429.9647435016158,0.0,1.0,0.0,0.0,2.0,0,0
31,0.0027764683907563,0.5997171724033733,0.0,0.1,858.0697983830397,411.969608357285,0.0,1.0,0.0,0.0,2.0,0,0
32,0.0024334269399356,0.525620219026102,0.0,0.1,,,0.0,1.0,,,2.0,0,0
33,0.0026531691730394,0.5730845413765117,0.0,0.1,882.9254229641479,393.1406826037145,0.0,1.0,0.0,0.0,2.0,0,0
34,0.0042342766525761,0.9146037569564388,0.0,0.1,891.3503220336332,386.9503824452255,0.0,1.0,0.0,0.0,2.0,0,0
35,0.0030156299631859,0.6513760720481672,0.0,0.1,,,0.0,1.0,,,2.0,0,0
36,0.0031628612788329,0.6831780362279279,0.0,0.1,910.4773420614224,371.6638657480588,0.0,1.0,0.0,0.0,2.0,0,0
37,0.0026078965978917,0.5633056651446128,0.0,0.1,917.9171190017792,365.203896194294,0.0,1.0,0.0,0.0,2.0,0,0
38,0.0031746411751291,0.6857224938278981,0.0,0.1,929.2017740219552,358.14309631443393,0.0,1.0,0.0,0.0,2.0,0,0
39,0.0027756472649722,0.5995398092340151,0.0,0.1,937.2727017714608,351.9945637288033,0.0,1.0,0.0,0.0,2.0,0,0
40,0.0072132085170969,1.5580530396929446,0.0,0.1,943.9240020679796,345.3514391963988,0.0,1.0,0.0,0.0,2.0,0,0
41,0.0043427712569537,0.9380385915020064,0.0,0.1,964.1321538775449,331.80743916221184,0.0,1.0,0.0,0.0,2.0,0,0
42,0.0031445325201041,0.6792190243424887,0.0,0.1,978.0983849880058,326.75327599187204,0.0,1.0,0.0,0.0,2.0,0,0
43,0.0041114385556278,0.8880707280156153,0.0,0.1,990.7304368958572,320.48602942490413,0.0,1.0,0.0,0.0,2.0,0,0
44,0.0031826740157593,0.6874575874040275,0.0,0.1,1002.0205483413874,313.2690949725932,0.0,1.0,0.0,0.0,2.0,0,0
45,0.0035979112762552,0.7771488356711237,0.0,0.1,1012.4956759397904,313.8113659042802,0.0,1.0,0.0,0.0,2.0,0,0
46,0.0027744516360921,0.5992815533958953,0.0,0.1,1020.2491190773254,316.7397946513459,0.0,1.0,0.0,0.0,2.0,0,0
47,0.0021789292372071,0.4706487152367458,0.0,0.1,1034.8860989278116,316.7417479852327,0.0,1.0,0.0,0.0,2.0,0,0
48,0.0037808563331834,0.8166649679676161,0.0,0.1,1049.7114292726735,317.45822255511604,0.0,1.0,0.0,0.0,2.0,0,0
49,0.0039569532569426,0.854701903499609,0.0,0.1,1064.741998031404,319.0445204299369,0.0,1.0,0.0,0.0,2.0,0,0
50,0.0033811001333134,0.7303176287957039,0.0,0.1,1076.1561033552243,318.0423836314571,0.0,1.0,0.0,0.0,2.0,0,0
51,0.0037649702161054,0.8132335666787766,0.0,0.1,1088.591135046894,318.9871258475791,0.0,1.0,0.0,0.0,2.0,0,0
52,0.0034559116507786,0.7464769165681815,0.0,0.1,1102.5723410181015,320.08627619654663,0.0,1.0,0.0,0.0,2.0,0,0
53,0.0028661392019359,0.6190860676181555,0.0,0.1,1113.8447286523397,319.0465324154779,0.0,1.0,0.0,0.0,2.0,0,0
