;distance_travelled_center;speed_in_cm/s;distance_nose_leftdish;distance_nose_rightdish;is_left_cagehalf;is_right_cagehalf;is_investigating_leftdish;is_investigating_rightdish
22443;0.493166341;0.493166341;487.4366731;623.5763977;1;0;0;0
22444;2.928607381;2.928607381;484.596003;624.80292;1;0;0;0
22445;0.926798382;0.926798382;486.5381262;624.9865308;1;0;0;0
22446;2.953650654;2.953650654;485.2760323;624.2505818;1;0;0;0
22447;1.950656491;1.950656491;484.2270905;624.309281;1;0;0;0
22448;1.120818007;1.120818007;485.0676313;624.6884253;1;0;0;0
22449;1.261419024;1.261419024;489.683176;622.1037826;1;0;0;0
22450;0.325148041;0.325148041;489.6831224;621.8515012;1;0;0;0
22451;1.81623667;1.81623667;489.5166353;622.9613053;1;0;0;0
22452;1.488996984;1.488996984;490.3793143;621.5464131;1;0;0;0
22453;0.268672143;0.268672143;490.4559883;621.758295;1;0;0;0
22454;0.967176848;0.967176848;491.100733;621.8849762;1;0;0;0
22455;1.036453809;1.036453809;495.5312079;620.9017953;1;0;0;0
22456;2.49351247;2.49351247;503.2485569;614.6949927;1;0;0;0
22457;1.372199586;1.372199586;506.782471;612.3341657;1;0;0;0
22458;2.012802915;2.012802915;507.6913738;611.7084583;1;0;0;0
22459;9.881560119;9.881560119;511.7932859;608.7417569;1;0;0;0
22460;;;516.3267033;608.3436954;1;0;0;0
22461;;;521.1107995;607.3458889;;;0;0
22462;13.61950567;13.61950567;523.9903643;608.3632033;1;0;0;0
22463;9.778334126;9.778334126;528.7650073;606.9136912;1;0;0;0
22464;9.00655206;9.00655206;535.4230576;604.4250486;1;0;0;0
22465;6.464877611;6.464877611;538.020662;600.7873241;1;0;0;0
22466;10.45127533;10.45127533;;;1;0;0;0
22467;3.247480965;3.247480965;;;1;0;0;0
22468;10.31525313;10.31525313;551.4285566;600.8631777;1;0;0;0
22469;10.366451;10.366451;555.5716939;603.5338866;1;0;0;0
22470;5.472556561;5.472556561;557.3595638;606.1684247;1;0;0;0
22471;5.432304307;5.432304307;563.429352;606.2680856;1;0;0;0
