,distance_nose_leftdish,distance_nose_rightdish,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm]
121,794.1596774467905,55.753963393891205,0.0,1.0,2.2
122,793.1030522235609,54.63319915911909,0.0,1.0,2.2
123,784.6166854636575,46.046201245039036,0.0,1.0,2.2
124,776.9978364453887,38.92568949962776,0.0,1.0,2.2
125,,,0.0,0.0,2.2
126,754.7760292156267,66.80630107874764,0.0,1.0,2.2
127,,,0.0,0.0,2.2
128,731.1753168298211,88.91558295423806,0.0,0.0,2.2
129,723.8776556266399,123.29535676840894,0.0,0.0,2.2
130,709.190790790734,154.92633553580578,0.0,0.0,2.2
131,686.3547163553359,190.75386378537752,0.0,0.0,2.2
132,654.0699659484893,224.08305480245804,0.0,0.0,2.2
133,619.8080977507863,263.9596073346202,0.0,0.0,2.2
134,591.439729894388,287.0123911684044,0.0,0.0,2.2
135,574.0473346104093,316.7764413696286,0.0,0.0,2.2
136,554.8336308880115,337.6113604248519,0.0,0.0,2.2
137,529.3563688742439,359.77791814832364,0.0,0.0,2.2
138,503.42289006400887,388.22250698393987,0.0,0.0,2.2
139,471.2700844795927,416.00591832875153,0.0,0.0,2.2
140,448.38264463246,439.7665420322239,0.0,0.0,2.2
141,424.8516616025743,460.2322405695412,0.0,0.0,2.2
142,397.27682652585173,476.57235252509497,0.0,0.0,2.2
143,363.51612392029955,488.2442722486484,0.0,0.0,2.2
144,338.30543817059333,495.35094889608143,0.0,0.0,2.2
145,314.8594662493885,504.88392300129476,0.0,0.0,2.2
146,292.7933808311989,515.2319560962065,0.0,0.0,2.2
147,276.0181415396847,522.7874261440346,0.0,0.0,2.2
148,255.62575513174693,524.8994724598975,0.0,0.0,2.2
149,242.90169952130253,523.4185720932726,0.0,0.0,2.2
150,232.23850021819894,522.6246763121254,0.0,0.0,2.2
151,225.33715008842307,519.0488988139108,0.0,0.0,2.2
152,224.56717811662435,515.4127090932171,0.0,0.0,2.2
153,235.1961005435182,503.4242912974109,0.0,0.0,2.2
154,239.54909260567908,500.4221246679625,0.0,0.0,2.2
155,253.58496374380448,489.53034469096224,0.0,0.0,2.2
156,264.2132896315158,485.9959893568459,0.0,0.0,2.2
157,284.40426086809606,471.6471956916397,0.0,0.0,2.2
158,307.47715024270167,458.55341639901087,0.0,0.0,2.2
159,331.22954855984005,443.60729302845726,0.0,0.0,2.2
160,352.5322298569261,432.4874846240945,0.0,0.0,2.2
161,371.03590779430453,428.9089986527072,0.0,0.0,2.2
162,391.6157928579632,420.62331682807513,0.0,0.0,2.2
163,417.1674578860956,406.4729333225341,0.0,0.0,2.2
164,434.3077131428084,402.956112410702,0.0,0.0,2.2
165,456.7440732400561,397.4385752729406,0.0,0.0,2.2
166,473.7086681941562,390.79569760578426,0.0,0.0,2.2
167,493.1029356502283,390.0316836778163,0.0,0.0,2.2
168,526.8936459726629,391.90038581479973,0.0,0.0,2.2
169,567.2774267015084,392.8475283534808,0.0,0.0,2.2
170,598.8994790564198,400.37110698755663,0.0,0.0,2.2
171,625.1527125862323,407.9162584879717,0.0,0.0,2.2
172,657.4920784966146,404.52637637143295,0.0,0.0,2.2
173,686.9879481978446,410.14858475522567,0.0,0.0,2.2
174,697.4520358981076,404.38957660000864,0.0,0.0,2.2
